Founder,Company,Age,Went to elite university,Major in Business,Major in Engineering,Completed Doctor Degree,Completed Master Degree,Completed Bachelor Degree,Master in Engineering,Master in Business,Doctor in Engineering,Doctor in Business,Role in Product/Engineering,Role in Business/Marketing/Comm,Role in Finance,Work at MNC,Work at Entrepreneurial Company,Work at National Company,Work at a company,Work as High Level,Work as Manager,Work as Intern
yada_piyajomkwan,ajaib,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0
yanchuan_sim,bot_md,39,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1
yaniv_bernstein,circular,40,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0
yasaman_nematbakhsh,adra,35,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0
ye_xia,maitian.ai,29,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
yee_meng_(daniel)_chua,power_to_the_brand,39,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
yi_sung_(sung)_yong,atlas,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0
yih_lin_teh,bipi,34,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1
youmin_kim,take_app,38,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
zehao_li,meson,34,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
zhicong_(z)_lim,cococart,29,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1
